UNIQUE_ID,Date,Company,CapitalIQ_ID,ISIN,Ticker,Total_ESG_Score,Governance_Score,Social_Score,Environment_Score
127378733643374,20181001,Eastern Creation II Investment Holdings Ltd.,IQ265909090,XS1684818377,,41.7,37.33,51.67,37.5
103447051343374,20181001,Equatorial Energia SA,IQ26592267,BREQTLACNOR0,EQTL3,51.68,57.75,58.13,44
127384979743374,20181001,Ontex Group NV,IQ265971551,BE0974276082,ONTEX,86.03,82.5,84.13,90.71
100814426343374,20181001,"Dell Technologies, Inc.",IQ266017,US24703L1035,DVMT,77.98,55.69,83.37,87.2
100814435843374,20181001,Deere & Co,IQ266112,US2441991054,DE,65.07,63.85,56.68,73.15
127412346643374,20181001,IMCD NV,IQ266245220,NL0010801007,IMCD,59.6,69,56.26,56.71
100814455743374,20181001,Delta Air Lines Inc,IQ266311,US2473617023,DAL,57.99,65.59,58.44,52.05
127422796843374,20181001,PZU Finance AB,IQ266349722,XS1082661551,,53.44,53.13,63.44,43.18
100790488843374,20181001,Coca-Cola Co,IQ26642,US1912161007,KO,59.06,60.05,55.51,62.42
127429900443374,20181001,FDM Group (Holdings) PLC,IQ266420758,GB00BLWDVP51,FDM,47.87,53.4,43.04,50.5
100814475643374,20181001,Devon Energy Corp,IQ266510,US25179M1036,DVN,68.15,73.57,73.69,57.94
100790490443374,20181001,Cognex Corp,IQ26658,US1924221039,CGNX,46.96,52.44,46.2,44.19
100814484443374,20181001,DTE Energy Co,IQ266598,US2333311072,DTE,68.88,77.95,76.41,58.84
127448248243374,20181001,Infra Park SAS,IQ266604236,FR0012236669,,52.8,58.75,48.47,52.87
127449027143374,20181001,"Krung Thai Bank Public Co Ltd, Cayman Branch",IQ266612025,XS0823985113,,53.31,51.82,66.37,41.25
127464147143374,20181001,AA PLC,IQ266763225,GB00BMSKPJ95,AA,61.07,66.35,59.09,59.5
100814509343374,20181001,Dillard's Inc,IQ266847,US2540671011,DDS,55.1,58.34,62.91,43.86
127483288143374,20181001,Airvessel Finance Holdings Ltd.,IQ266954635,XS1089991100,,51.82,51,60.64,43.42
100814522043374,20181001,Dollar General Corp,IQ266974,US2566771059,DG,47.81,65.65,46.12,37
127490813643374,20181001,Scentre Management Ltd.,IQ267029890,XS1383389670,,56.76,68.15,50.77,52.69
100814535143374,20181001,Dominion Energy Inc,IQ267105,US25746U1097,D,61.38,73.32,65.4,52.06
127500906243374,20181001,Bellamy's Australia Ltd,IQ267130816,AU000000BAL8,BAL,54.21,58.5,54.59,50.71
100814580143374,20181001,Flowserve Corp,IQ267555,US34354P1057,FLS,60.63,60.05,57.08,64.09
100790501143374,20181001,CommScope Holding Co Inc,IQ26765,US20337X1090,COMM,60.37,64.35,61.25,57.11
100814609643374,20181001,Duke Energy Corp,IQ267850,US26441C2044,DUK,62.8,71.19,75.51,49.68
100814615243374,20181001,Duke Realty Corp,IQ267906,US2644115055,DRE,54.38,69.31,46.37,49.18
127582341243374,20181001,Huarong Finance Co. Ltd.,IQ267945166,XS1088292815,,46.51,39.39,63.36,37.5
127590964643374,20181001,Spire Healthcare Group PLC,IQ268031400,GB00BNLPYF73,SPI,51.72,51,43.6,67.2
100814629943374,20181001,E.I. du Pont de Nemours & Co.,IQ268053,US263534CK37,,65.88,70.39,66.81,62.24
103470710743374,20181001,Cairn India Ltd,IQ26828861,SUSTC16EC6F5,,65.92,72.01,58.52,70.03
100814656243374,20181001,Eaton Vance Corp,IQ268316,US2782651036,EV,55.4,58.66,55.32,51.38
100814660943374,20181001,PerkinElmer Inc,IQ268363,US7140461093,PKI,53.32,57.12,42.21,68.79
127628983943374,20181001,Sino-Ocean Land Treasure Finance I Ltd.,IQ268411593,XS1090864528,,54.48,42.32,59.38,59.94
100790511443374,20181001,Computacenter PLC,IQ26868,GB00BV9FP302,CCC,53.7,72.65,45.53,50.17
103475744843374,20181001,Realogy Holdings Corp,IQ26879202,US75605Y1064,RLGY,48.44,53.01,44.87,47.68
100814704543374,20181001,Ecolab Inc,IQ268799,US2788651006,ECL,61.24,70.89,54.86,60.79
127675223043374,20181001,CRCC Yupeng Ltd.,IQ268873984,XS1089194341,,42.75,52.33,34.73,43.88
101056737243374,20181001,Fortinet Inc,IQ2689126,US34959E1091,FTNT,47.2,59.18,46.62,38.11
100790513943374,20181001,Conagra Brands Inc,IQ26893,US2058871029,CAG,57.11,76.39,47.4,54.43
103477506443374,20181001,Iberdrola Finanzas SA,IQ26896818,XS0494868630,,81.34,77.95,78.03,85.43
100790515243374,20181001,Concho Resources Inc,IQ26906,US20605P1012,CXO,51.75,61.3,48.33,48.83
127700087043374,20181001,SpeedCast International Ltd,IQ269122624,AU000000SDA9,SDA,44.73,57.45,39.13,42.52
100814747743374,20181001,Emerson Electric Co,IQ269231,US2910111044,EMR,57.91,58.99,60.33,55.11
103481360243374,20181001,Telekom Finanzmanagement GmbH,IQ26935356,XS0767278301,,64.86,79.45,51.95,72.02
103481364843374,20181001,BPE Financiaciones SA,IQ26935402,XS1169791529,,70.06,62.87,73.4,75.58
103481713043374,20181001,BBVA Subordinated Capital SA,IQ26938884,XS1055241373,,64.26,57.43,68.99,67.83
100814773443374,20181001,Ensco PLC,IQ269488,GB00B4VLR192,ESV,55.05,58.99,54.71,52.88
100790519543374,20181001,Big Lots Inc,IQ26949,US0893021032,BIG,48.99,66.4,48.14,37.53
103483009143374,20181001,Fresenius Finance BV,IQ26951845,XS0759200321,,54.81,55.94,53.67,55.5
103483124743374,20181001,Glencore Finance (Europe) Ltd.,IQ26953001,XS1202846819,,61.63,66.38,64.11,55.42
103483179143374,20181001,Nomura Europe Finance NV,IQ26953545,XS1076528501,,71.33,63.62,75.08,77.08
103483297343374,20181001,Holcim Finance Luxembourg SA,IQ26954727,XS1420338102,,67.31,80.88,58.46,66.57
103483355543374,20181001,Hongkong Electric Finance Ltd.,IQ26955309,XS1401202517,,53.92,59.1,52.8,51.78
103483422443374,20181001,"BBVA Senior Finance, S.A.",IQ26955978,XS1016720853,,64.26,57.43,68.99,67.83
103483775043374,20181001,Swire Pacific MTN Financing Ltd.,IQ26959504,XS0979067427,,66.08,57.86,52.5,82.44
103483931143374,20181001,Santander Issuances SA Unipersonal,IQ26961065,XS1585005314,,70.06,62.87,73.4,75.58
103483975043374,20181001,Statkraft SF,IQ26961504,NO0010027683,,70.61,70.33,68.76,71.99
103483977143374,20181001,Direct Line Insurance Group PLC,IQ26961525,GB00BY9D0Y18,DLG,54.82,54.2,61.09,48.92
103484077343374,20181001,Airbus Finance BV,IQ26962527,XS1050846507,,69.14,63,65.02,78.52
103484088543374,20181001,Delta Lloyd Levensverzekering NV,IQ26962639,XS0821168423,,84.34,92.05,83.71,75.25
103484148943374,20181001,Anglo American Capital Plc,IQ26963243,XS0764637194,,75.89,84.52,84.28,60.16
103484190743374,20181001,NGG Finance Plc,IQ26963661,XS0903531795,,68.69,74.59,65.42,67.6
100814790643374,20181001,EOG Resources Inc,IQ269660,US26875P1012,EOG,60.26,64.67,61.3,55.92
100814795243374,20181001,LM Ericsson Telephone Co,IQ269706,SE0000108656,ERIC.B,83.93,71.38,87.56,88.6
103484941043374,20181001,Sydney Airport Finance Co. Pty Ltd.,IQ26971164,XS1057783174,,66.13,84.25,62.56,57.25
103484963043374,20181001,Holding d'Infrastructures de Transport SAS,IQ26971384,XS1111108673,,78.15,81.04,82.73,70.84
103484963543374,20181001,Talanx Finanz (Luxembourg) SA,IQ26971389,XS0768664731,,67.34,60.61,77.22,65.33
103484988443374,20181001,Petronas Capital Ltd.,IQ26971638,USY68856AH99,,51.64,55.27,44.54,57.16
103485016443374,20181001,Santander International Debt SA,IQ26971918,XS0627082638,,70.06,62.87,73.4,75.58
103485026743374,20181001,Sasol Financing International Plc,IQ26972021,US803865AA25,,82.3,75.04,91.34,77.16
103485033643374,20181001,La Banque Postale SA,IQ26972090,FR0013054913,,79.84,79.27,85.6,74.42
103485040143374,20181001,Lanxess Finance BV,IQ26972155,XS0855167523,,70.48,70.05,80.86,61.68
103485050843374,20181001,ASB Finance Ltd.,IQ26972262,XS1483161631,,76.05,72.22,77.04,79.83
103485051543374,20181001,Conti-Gummi Finance B.V.,IQ26972269,SUST29660A31,,78.32,68.75,73.59,90.55
103485053243374,20181001,Transurban Finance Co. Pty Ltd.,IQ26972286,XS1109744778,,65.89,76.59,63.89,60.53
103485115943374,20181001,Total Capital SA,IQ26972913,XS1443997223,,82.71,77.78,88.38,79.76
103485120243374,20181001,Shell International Finance BV,IQ26972956,US822582BF88,,74.9,80.14,88.31,55.82
103485122543374,20181001,ISS A/S,IQ26972979,DK0060542181,ISS,82.5,84.35,79.46,84
103485141643374,20181001,NIBC Bank NV,IQ26973170,XS0176803749,,71.62,67.56,77.94,70
100814801043374,20181001,Entergy Corp,IQ269764,US29364G1031,ETR,65.64,75.59,72.51,55.54
103487009143374,20181001,FireEye Inc,IQ26991845,US31816Q1013,FEYE,50.2,58.72,46.37,48.83
100814817043374,20181001,EQT Corp,IQ269924,US26884L1098,EQT,63.07,59.26,73.05,54.38
127785853943374,20181001,General Motors Financial International BV,IQ269980293,XS1413583839,,63.18,71.78,66.79,55.99
100814831743374,20181001,Expeditors International of Washington Inc,IQ270071,US3021301094,EXPD,56.52,62.45,51.06,58.53
100790526943374,20181001,Copart Inc,IQ27023,US2172041061,CPRT,43.2,59.2,40,36
127823599343374,20181001,Floor & Decor Holdings Inc,IQ270357747,US3397501012,FND,50.51,54.7,52.71,45
100814864143374,20181001,NewMarket Corp,IQ270395,US6515871076,NEU,47.84,51.33,48.47,45.1
103492824143374,20181001,Healthcare Trust of America Inc,IQ27049995,US42225P5017,HTA,43.48,50.22,42.03,39.5
100814883243374,20181001,NextEra Energy Inc,IQ270586,US65339F1012,NEE,66.92,69.62,78.94,57.41
103493971543374,20181001,Urenco Finance NV,IQ27061469,XS1032164607,,71.76,76.82,63.96,75.42
100814899343374,20181001,Fastenal Co,IQ270747,US3119001044,FAST,55.01,60.89,47.22,59.72
100814920743374,20181001,Fifth Third Bancorp,IQ270961,US3167731005,FITB,52.17,50.93,57.87,47.67
100790535743374,20181001,Cott Corp,IQ27111,CA22163N1069,BCB,51.06,65.99,51.3,40.11
100814938143374,20181001,Fannie Mae,IQ271135,US3135861090,FNMA,47.44,41.94,61.25,39.64
100814944543374,20181001,Federal Home Loan Mortgage Corp,IQ271199,US3134003017,FMCC,47.82,44.59,63.06,35.64
103500617043374,20181001,Japan Airlines Co Ltd,IQ27127924,JP3705200008,9201,49.78,55.7,50.22,45.06
100814955143374,20181001,Federal Realty Investment Trust,IQ271305,US3137472060,FRT,53.76,51.31,45.65,61.68
100814965543374,20181001,Regions Financial Corp,IQ271409,US7591EP1005,RF,54.98,53.62,59.53,51.83
103502598243374,20181001,Retail Food Group Ltd,IQ27147736,AU000000RFG3,RFG,51.23,60.7,59.42,38.16
103504751643374,20181001,Duratex SA,IQ27169270,BRDTEXACNOR3,DTEX3,70.5,74.2,70.01,68.63
127982693043374,20181001,Fullshare Holdings Ltd,IQ271948684,KYG3690U1058,607,44.63,44.49,44.37,44.94
100790544443374,20181001,Crown Castle International Corp,IQ27198,US22822V1017,CCI,47.92,61.8,41.88,42.04
103507695943374,20181001,Adecco International Financial Services BV,IQ27198713,XS1237184533,,71.18,73.99,68.25,71.97
100790544543374,20181001,Crown Holdings Inc,IQ27199,US2283681060,CCK,56.72,58.25,49.04,62.49
127990199343374,20181001,MTN (Mauritius) Investments Ltd.,IQ272023747,XS1128996425,,57.3,69.15,44.85,66.1
103508368643374,20181001,Japan Hotel REIT Investment Corp,IQ27205440,JP3046400002,8985,46.28,42.85,51.67,44.81
100815053143374,20181001,M&T Bank Corp,IQ272285,US55261F1049,MTB,48.09,48.17,59.63,35.67
128024578543374,20181001,Regis Healthcare Ltd,IQ272367539,AU000000REG6,REG,50.68,65.18,43.6,46
100815062943374,20181001,First Republic Bank,IQ272383,US33616C1009,FRC,52.67,54.15,64.95,37.67
103512634243374,20181001,WSP Global Inc,IQ27248096,CA92938W2022,WSP,65.91,75.21,60.52,63.79
100815096743374,20181001,First Horizon National Corp,IQ272721,US3205171057,FHN,47.13,47.37,57.17,36.08
128082391143374,20181001,South32 Ltd,IQ272945665,AU000000S320,S32,74.61,90.4,67.82,71.09
103518477843374,20181001,Phillips 66,IQ27306532,US7185461040,PSX,55.49,65.89,58.94,44.13
100790555343374,20181001,Cypress Semiconductor Corp,IQ27307,US2328061096,CY,62.48,65.9,63.59,59.38
100815145843374,20181001,Forest City Realty Trust Inc,IQ273212,US3456051099,FCE.A,71.6,70.42,67.53,75.55
103521822643374,20181001,Thai Beverage PLC,IQ27339980,TH0902010014,Y92,67.53,65.37,65.28,71.66
103522929643374,20181001,Grupo Energia Bogota SA ESP,IQ27351050,COE01PA00026,EEB,61.49,79.45,66.07,48.44
103522966243374,20181001,Norwegian Property ASA,IQ27351416,NO0010317811,NPRO,58.89,65.83,59.38,53.31
100815185343374,20181001,Freeport-McMoRan Inc,IQ273607,US35671D8570,FCX,64.92,80.52,71.06,46.76
103524508343374,20181001,RDI REIT PLC,IQ27366837,IM00B8BV8G91,RDI,59.77,58.83,68.75,53.75
103524628543374,20181001,Southern Cross Media Group Ltd,IQ27368039,AU000000SXL4,SXL,53.94,74.4,46.57,48.24
100815213343374,20181001,White Mountains Insurance Group Ltd,IQ273887,BMG9618E1075,WTM,47.1,50.02,55.77,34.17
128186200443374,20181001,Hewlett Packard Enterprise Co,IQ273983758,US42824C1099,HPE,78.5,72.25,83.76,77.81
128204241743374,20181001,CITIC Securities Finance MTN Co. Ltd.,IQ274164171,XS1130968453,,47.94,40.08,64.14,40.58
100815251143374,20181001,Gap Inc,IQ274265,US3647601083,GPS,68.05,72.29,67.98,65.1
103532299843374,20181001,Tesla Inc,IQ27444752,US88160R1014,TSLA,61,59.45,48.69,70.07
100815280743374,20181001,General Dynamics Corp,IQ274561,US3695501086,GD,52.46,58.5,44.88,54.87
100815296143374,20181001,General Mills Inc,IQ274715,US3703341046,GIS,70.9,67.63,66.7,78.03
103536689843374,20181001,Austevoll Seafood ASA,IQ27488652,NO0010073489,AUSS,48.62,53,49.46,44.51
100815317243374,20181001,Gentex Corp,IQ274926,US3719011096,GNTX,59.82,68.65,52.15,62.29
100815328043374,20181001,Genuine Parts Co,IQ275034,US3724601055,GPC,46.7,64.8,42.37,38.71
100790575043374,20181001,Dentsply Sirona Inc,IQ27504,US24906P1093,XRAY,55.07,56.75,49.49,63.1
103539056843374,20181001,Pavilion Trustees Ltd.,IQ27512322,SUST06628FD2,,42.17,39.98,54.59,31.67
103539445043374,20181001,Shimao Property Holdings Ltd,IQ27516204,KYG810431042,813,43.27,38.15,51.67,40.81
128326790243374,20181001,Hutchison Whampoa Finance (14) Ltd.,IQ275389656,XS1132402709,,43.77,51.6,42.19,40.24
128326791543374,20181001,Hutchison Whampoa International Ltd.,IQ275389669,USG46747AB00,,43.77,51.6,42.19,40.24
128327953343374,20181001,Cellnex Telecom SA,IQ275401287,ES0105066007,CLNX,66.51,84,61.31,59.75
100815368843374,20181001,GlaxoSmithKline PLC,IQ275442,GB0009252882,GSK,67.19,65.08,61.16,80.58
100815381943374,20181001,National Retail Properties Inc,IQ275573,US6374171063,NNN,42.91,52.84,37.53,39.5
128348794643374,20181001,IDFC Bank Ltd,IQ275609700,INE092T01019,539437,63.61,65.8,62.99,61.5
100790580743374,20181001,Dick's Sporting Goods Inc,IQ27561,US2533931026,DKS,49.76,65.35,48.17,40.43
100815403543374,20181001,Goodyear Tire & Rubber Co,IQ275789,US3825501014,GT,65.04,60.29,58.38,76.03
103545896343374,20181001,Aegon Bank N.V.,IQ27580717,XS1327151228,,76.72,86.71,68.11,73.25
103546480143374,20181001,Seibu Holdings Inc,IQ27586555,JP3417200007,9024,41.3,50.16,40.99,36.06
100815425243374,20181001,W R Grace & Co,IQ276006,US38388F1084,GRA,50.04,62.72,59.27,34.04
101063871143374,20181001,China Construction Bank (Asia) Corp. Ltd.,IQ2760465,XS1100009874,,50.91,47.43,57.91,47.83
100815430643374,20181001,W.W. Grainger Inc,IQ276060,US3848021040,GWW,71.09,66.33,68,78.03
103549579943374,20181001,Alaris Royalty Corp,IQ27617553,CA01163Q4007,AD,49.23,52.99,61.21,31.67
103549903543374,20181001,Ryanair DAC,IQ27620789,XS1199964575,,47.17,53.44,47.92,41.83
128442700943374,20181001,DXB Entertainments PJSC,IQ276548763,AED001501017,DXBE,45.76,49.7,48.57,40.84
100815484743374,20181001,H&R Block Inc,IQ276601,US0936711052,HRB,48.77,66.79,49.93,36.5
103554516643374,20181001,Douglas Emmett Inc,IQ27666920,US25960P1093,DEI,61.18,52.81,71.04,60.06
100815494943374,20181001,Robert Half International Inc,IQ276703,US7703231032,RHI,45.76,58.55,40.51,42.38
103554874043374,20181001,UBS AG (London Branch),IQ27670494,XS0500331557,,73.99,67.25,69.7,87.08
103555225543374,20181001,Adani Ports & Special Economic Zone Ltd,IQ27674009,INE742F01042,532921,55.64,63.55,63.41,41.11
100790593143374,20181001,Dollar Tree Inc,IQ27685,US2567461080,DLTR,50.15,68.52,46.29,41.43
100815569043374,20181001,Harley-Davidson Inc,IQ277444,US4128221086,HOG,54.57,69.59,57.1,44.54
100790599143374,20181001,DST Systems Inc,IQ27745,US233326D#19,DST,49.62,57.95,46.85,46.83
100815576343374,20181001,Komatsu Mining Corp.,IQ277517,US481165AJ77,,51.86,62.14,47.92,48.88
100790600143374,20181001,Dun & Bradstreet Corp,IQ27755,US26483E1001,DNB,50.92,61.25,46.6,48.25
100815586343374,20181001,Jack Henry & Associates Inc,IQ277617,US4262811015,JKHY,46.81,58.35,43.61,42
103564147743374,20181001,CBS Corp,IQ27763231,US1248572026,CBS,44.96,58.38,36.31,48.84
100815599243374,20181001,Hasbro Inc,IQ277746,US4180561072,HAS,64.65,61.15,66.59,64.94
128570287643374,20181001,Indivior PLC,IQ277824630,GB00BRS65X63,INDV,54.12,67.9,44.23,55.4
100815610043374,20181001,Hawaiian Electric Industries Inc,IQ277854,US4198701009,HE,53.08,68.65,54.71,43.33
100815614043374,20181001,Equity Commonwealth,IQ277894,US2946281027,EQC,54.73,53.21,54.21,56.25
100815616043374,20181001,Welltower Inc,IQ277914,US95040Q1040,WELL,66.15,69.34,63.13,66.02
100815621243374,20181001,HCP Inc,IQ277966,US40414L1098,HCP,62.89,61.17,59.37,66.82
100790605343374,20181001,E*TRADE Financial Corp,IQ27807,US2692464017,ETFC,49.78,52.64,60.26,34.98
100815638943374,20181001,Heico Corp,IQ278143,US4228061093,HEI,49.97,58.17,48.4,44.51
103569478643374,20181001,New Oriental Education & Technology Group Inc,IQ27816540,US6475811070,EDU,44.53,49.8,53.1,33.75
100815645843374,20181001,Kraft Heinz Intermediate Corporation II,IQ278212,SUSTB820650B,,55.97,70.36,46.14,56.93
128613997143374,20181001,Aldermore Group PLC,IQ278261725,XS1507529144,ALD,49.8,49.68,63.32,35.5
100815658743374,20181001,Helmerich & Payne Inc,IQ278341,US4234521015,HP,53.09,59.05,47.46,54.29
128627618943374,20181001,CGN Power Co Ltd,IQ278397943,CNE100001T80,1816,55.59,49.75,68.52,50.22
100815675943374,20181001,Hexcel Corp,IQ278513,US4282911084,HXL,60.44,55.17,58.04,67.37
100815682243374,20181001,JB Hunt Transport Services Inc,IQ278576,US4456581077,JBHT,45.69,55.25,42.21,42.84
103573883343374,20181001,Spirit AeroSystems Holdings Inc,IQ27860587,US8485741099,SPR,67.48,70.33,77.47,55.06
100815686043374,20181001,Huntington Bancshares Inc,IQ278614,US4461501045,HBAN,53.38,55.23,60.67,43.25
100790610843374,20181001,eBay Inc,IQ27862,US2786421030,EBAY,63.75,59.95,61.19,70.77
103574544643374,20181001,Nippon Accommodations Fund Inc,IQ27867200,JP3046440008,3226,53.31,42.85,51.67,62.37
100815692543374,20181001,The Home Depot Inc,IQ278679,US4370761029,HD,68.48,69.48,54.65,83.59
103574978043374,20181001,Mineral Resources Ltd,IQ27871534,AU000000MIN4,MIN,53.34,56.85,47.09,56.63
